X1,X2,X3,X4,X5,y
1.668068295,2.782451838,4.641319694,7.74203823,12.91424851,-3.901561631
0.925861816,0.857220102,0.793667361,0.734826304,0.680347616,-0.384578339
1.057996775,1.119357175,1.184276281,1.252960485,1.325628152,12.49367696
-0.920339014,0.8470239,-0.779549141,0.717449488,-0.660296754,12.23738875
1.299748466,1.689346074,2.195724968,2.853890158,3.709339354,-3.772850645
0.331183012,0.109682188,0.036324877,0.012030182,0.003984192,1.02930203
-0.509844968,0.259941891,-0.132530065,0.067569787,-0.034450116,8.302473116
-0.903098919,0.815587657,-0.736556331,0.665183226,-0.600726252,12.73599608
-0.130016373,0.016904257,-0.00219783,0.000285754,-3.72E-05,-26.59796273
-2.238203491,5.009554868,-11.2124032,25.09563998,-56.16914902,38.35541893
0.973164881,0.947049885,0.921635689,0.896903485,0.872834973,-7.094937216
-0.024184812,0.000584905,-1.41E-05,3.42E-07,-8.27E-09,1.1509713
-0.484927754,0.235154926,-0.11403315,0.055297839,-0.026815457,-4.296928914
-1.109264358,1.230467415,-1.364913647,1.514050061,-1.679481768,-3.959021951
-0.558974765,0.312452788,-0.174653224,0.097626745,-0.054570887,-17.19996905
1.042386573,1.086569768,1.132625737,1.180633861,1.230676885,5.111521282
-1.712262705,2.931843571,-5.020086405,8.595706727,-14.71810805,27.52520281
0.136119886,0.018528623,0.002522114,0.00034331,4.67E-05,-2.420843979
-0.464443989,0.215708219,-0.100184386,0.046530036,-0.021610595,1.940265557
0.050979839,0.002598944,0.000132494,6.75E-06,3.44E-07,-5.883135538
1.447898711,2.096410678,3.03539032,4.394937733,6.36342468,-9.096151747
0.593138477,0.351813252,0.208673977,0.123772565,0.07341427,9.498795391
-0.755615683,0.57095506,-0.431422598,0.325989681,-0.246322915,4.795508661
-0.627165534,0.393336607,-0.246687163,0.154713686,-0.097031092,-7.543410383
0.884034885,0.781517678,0.690888891,0.610769881,0.539941882,8.714026844
0.162717755,0.026477068,0.004308289,0.000701035,0.000114071,14.12199188
-2.502812866,6.26407224,-15.67780059,39.23860102,-98.20687547,61.37532386
0.410790991,0.168749238,0.069320667,0.028476305,0.01169781,6.317130861
0.728750406,0.531077155,0.387022692,0.282042944,0.20553891,5.960005933
0.029140198,0.000849151,2.47E-05,7.21E-07,2.10E-08,7.179237193
-0.291052458,0.084711534,-0.0246555,0.007176044,-0.002088605,-2.719941916
0.314293077,0.098780139,0.031045914,0.009757516,0.00306672,12.40257849
